Rank;Global Rank;Institution;Country;Sector;Best Country Quartile
167;5846;Universidad Michoacana de San Nicolas de Hidalgo;MEX;Universities;2
168;5866;Universidade Federal Rural do Rio de Janeiro;BRA;Universities;2
169;5871;Universidad Autonoma de Chihuahua;MEX;Universities;2
169;5871;Universidad Nacional de Cuyo *;ARG;Universities;1
171;5893;Universidad Nacional de Quilmes;ARG;Universities;2
172;5911;Universidade de Sorocaba;BRA;Universities;1
173;5937;Instituto Federal de Educacao, Ciencia e Tecnologia do Rio Grande do Norte;BRA;Universities;2
174;5978;Universidad Privada del Norte;PER;Universities;1
175;5984;Universidad San Ignacio de Loyola;PER;Universities;1
176;5989;Universidad Central de Venezuela;VEN;Universities;1
177;6008;Faculdade de Ciencias Medicas da Santa Casa de Sao Paulo;BRA;Universities;2
178;6016;Universidad de La Serena;CHL;Universities;2
179;6024;Universidad Antonio Narino;COL;Universities;1
180;6028;Universidade do Oeste Paulista;BRA;Universities;1
180;6028;Universidad Nacional de Costa Rica;CRI;Universities;2
182;6051;Centro de Educacion Medica e Investigaciones Clinicas Norberto Quirno;ARG;Universities;2
183;6058;Universidade Federal de Alfenas;BRA;Universities;2
184;6090;Universidade do Vale do Taquari;BRA;Universities;2
184;6090;Universidade Federal da Grande Dourados;BRA;Universities;2
186;6094;Universidade de Pernambuco *;BRA;Universities;2
187;6100;Universidade Estadual do Ceara;BRA;Universities;2
187;6100;Universidad Nacional de Rio Cuarto *;ARG;Universities;1
189;6107;Universidad Catolica del Norte;CHL;Universities;2
190;6116;Instituto Tecnologico de Tijuana;MEX;Universities;1
191;6135;Universidad Catolica del Maule;CHL;Universities;2
192;6142;Universidad Panamericana *;MEX;Universities;2
193;6149;Instituto Federal de Educacao, Ciencia e Tecnologia do Rio de Janeiro;BRA;Universities;1
194;6155;Universidad Cesar Vallejo;PER;Universities;1
195;6173;Universidad Privada Norbert Wiener;PER;Universities;1
196;6193;Pontificia Universidade Catolica de Minas Gerais;BRA;Universities;2
197;6214;Universidad Nacional del Altiplano;PER;Universities;1
198;6218;Universidad Tecnologica Nacional *;ARG;Universities;2
199;6239;Centro Universitario SENAI CIMATEC;BRA;Universities;1
200;6246;Universidad Autonoma de Bucaramanga;COL;Universities;1
201;6262;Universidad del Bio-Bio;CHL;Universities;2
202;6274;Universidad El Bosque;COL;Universities;1
203;6302;Universidad de Ciencias Medicas de La Habana *;CUB;Universities;1
203;6302;Universidad Autonoma de la Ciudad de Mexico;MEX;Universities;1
205;6305;Universidad de los Andes, Venezuela;VEN;Universities;2
205;6305;Universidade do Sul de Santa Catarina;BRA;Universities;1
207;6309;Universidade Federal do Amazonas;BRA;Universities;2
208;6314;Universidad Tecnologica Centroamericana;HND;Universities;1
209;6317;Ross University School of Veterinary Medicine;KNA;Universities;1
210;6327;Universidad Santiago de Cali;COL;Universities;2
211;6331;Instituto Tecnologico de Costa Rica;CRI;Universities;1
212;6335;Universidad Ricardo Palma;PER;Universities;1
213;6342;Universidad de San Martin de Porres;PER;Universities;2
213;6342;Universidad Nacional de Trujillo;PER;Universities;2
215;6364;Universidade Estadual de Ponta Grossa;BRA;Universities;2
216;6383;Universidad Politecnica Salesiana;ECU;Universities;1
217;6404;Universidade Estadual do Norte Fluminense Darcy Ribeiro;BRA;Universities;2
218;6418;Universidade Federal de Sao Joao del Rei;BRA;Universities;2
219;6434;Universidade Federal da Integracao Latino-Americana;BRA;Universities;2
220;6449;Universidad de las Americas Puebla;MEX;Universities;2
220;6449;Universidad Arturo Prat *;CHL;Universities;3
222;6465;Universidad del Atlantico;COL;Universities;1
223;6471;Universidade Federal do Pampa;BRA;Universities;2
223;6471;Universidade Federal do Vale do Sao Francisco;BRA;Universities;2
225;6482;Universidade Federal dos Vales do Jequitinhonha e Mucuri;BRA;Universities;3
225;6482;Instituto Federal de Educacao, Ciencia e Tecnologia do Ceara;BRA;Universities;1
227;6494;Universidade La Salle, Brazil;BRA;Universities;2
228;6504;Universidad Tecnologica de Bolivar;COL;Universities;1
228;6504;Universite des Antilles, Guadeloupe *;GLP;Universities;1
230;6526;Universidade Estadual de Montes Claros *;BRA;Universities;2
231;6530;Universidad Juarez del Estado de Durango;MEX;Universities;2
232;6555;Universidad Central de Chile;CHL;Universities;1
233;6565;Universidad Cooperativa de Colombia;COL;Universities;2
234;6579;Universidad de Caldas;COL;Universities;1
235;6583;Instituto Federal de Educacao, Ciencia e Tecnologia de Santa Catarina;BRA;Universities;2
236;6599;Universidad Externado de Colombia;COL;Universities;1
236;6599;Universidad Simon Bolivar, Barranquilla;COL;Universities;2
238;6605;Universidad Tecnica Particular de Loja;ECU;Universities;1
239;6609;Instituto Federal de Educacao, Ciencia e Tecnologia Espirito Santo;BRA;Universities;2
240;6623;Universidad del Tolima;COL;Universities;2
241;6648;Centro Universitario de Maringa;BRA;Universities;1
242;6652;Centro Federal de Educacao Tecnologica de Minas Gerais;BRA;Universities;1
242;6652;Universidade Nove de Julho;BRA;Universities;2
244;6680;Instituto Federal de Educacao, Ciencia e Tecnologia de Piaui;BRA;Universities;1
245;6694;Universidade Federal do Triangulo Mineiro;BRA;Universities;3
246;6712;Universidade Estadual do Oeste do Parana;BRA;Universities;2
247;6720;Universidad Continental, Peru;PER;Universities;2
248;6722;Instituto Federal de Educacao, Ciencia e Tecnologia Goiano;BRA;Universities;3
249;6733;Instituto Tecnologico de Sonora;MEX;Universities;2
249;6733;Universidad Nacional Agraria La Molina;PER;Universities;2
251;6736;Universidad de Cuenca;ECU;Universities;1
252;6742;Universidade Federal do Reconcavo da Bahia;BRA;Universities;2
253;6750;Universidade Paulista;BRA;Universities;1
254;6764;University of the West Indies, Cave Hill Campus;BRB;Universities;1
255;6769;Universidad Nacional del Comahue *;ARG;Universities;3
255;6769;Universidad Nacional de Salta *;ARG;Universities;3
257;6772;Universidade Feevale;BRA;Universities;2
258;6775;Centro Federal de Educacao Tecnologica Celso Suckow da Fonseca;BRA;Universities;1
259;6781;Universidad Autonoma Agraria Antonio Narro;MEX;Universities;1
260;6796;Universidad Santo Tomas, Colombia;COL;Universities;2
260;6796;Universidade Federal do Estado do Rio de Janeiro;BRA;Universities;2
262;6826;Pontificia Universidade Catolica de Sao Paulo;BRA;Universities;2
263;6828;Universidad Autonoma de Tamaulipas;MEX;Universities;2
264;6838;Universidad Mayor de San Andres;BOL;Universities;1
264;6838;Universidade Federal do Amapa;BRA;Universities;2
266;6847;Universidad de Lima;PER;Universities;2
267;6852;Universidade de Santa Cruz do Sul;BRA;Universities;2
267;6852;Universidad Autonoma de Guerrero;MEX;Universities;2
269;6858;Universidad Nacional de San Antonio Abad del Cusco;PER;Universities;1
270;6867;Universidad de Cordoba;COL;Universities;2
271;6877;Universidad Catolica de Temuco;CHL;Universities;3
272;6884;Universite de Guyane *;GUF;Universities;1
273;6896;Universidad de Monterrey;MEX;Universities;2
273;6896;Universidade Federal de Itajuba;BRA;Universities;2
273;6896;Faculdade Sao Leopoldo Mandic;BRA;Universities;2
276;6903;Universidade do Estado de Mato Grosso;BRA;Universities;3
277;6920;Universidad Distrital Francisco Jose de Caldas;COL;Universities;1
278;6943;Universidad Central del Ecuador;ECU;Universities;1
278;6943;Universidade Estadual de Feira de Santana;BRA;Universities;2
280;6952;Universidad Nacional de Asuncion;PRY;Universities;1
281;6961;Universidade Federal do Oeste da Bahia;BRA;Universities;2
281;6961;Universidade Estadual do Centro-Oeste;BRA;Universities;2
283;6965;Universidad Bernardo O'Higgins;CHL;Universities;2
284;6971;Universidad Nacional de Ingenieria, Peru *;PER;Universities;1
285;6975;Universidad Autonoma de Ciudad Juarez;MEX;Universities;2
286;7004;Universidade Federal Rural do Semi-Arido;BRA;Universities;2
287;7027;Universidad Militar Nueva Granada;COL;Universities;2
288;7031;Universidad Senor de Sipan;PER;Universities;2
289;7045;Universidad de Atacama;CHL;Universities;3
290;7048;Universidad CES *;COL;Universities;2
291;7065;Pontificia Universidad Catolica del Ecuador;ECU;Universities;2
291;7065;Universidad Catolica de la Santisima Concepcion;CHL;Universities;3
293;7069;Universidad de Playa Ancha;CHL;Universities;3
294;7077;Instituto Federal Catarinense;BRA;Universities;3
295;7090;Universidad del Azuay;ECU;Universities;1
296;7095;Universidad del Magdalena;COL;Universities;3
297;7098;Universidad Santo Tomas, Chile;CHL;Universities;3
298;7112;Universidade Federal da Fronteira Sul;BRA;Universities;2
299;7113;Universidade de Passo Fundo;BRA;Universities;2
300;7118;Escola Bahiana de Medicina e Saude Publica;BRA;Universities;3
301;7124;Universidad de Pamplona;COL;Universities;2
302;7136;Universidad del Quindio;COL;Universities;1
302;7136;Universidade do Estado do Para;BRA;Universities;2
304;7141;Universidad Nacional de San Agustin;PER;Universities;2
305;7154;Instituto Balseiro;ARG;Universities;3
306;7169;Universidad de Bogota Jorge Tadeo Lozano;COL;Universities;3
307;7173;Universidad Cientifica del Sur;PER;Universities;2
308;7175;Universidad Finis Terrae;CHL;Universities;2
309;7192;Universidade do Vale do Itajai;BRA;Universities;2
310;7197;Universidade do Extremo Sul Catarinense;BRA;Universities;2
310;7197;Universidad Autonoma de Zacatecas;MEX;Universities;3
312;7201;Universidade Federal Rural da Amazonia;BRA;Universities;3
313;7213;Universidad Privada San Juan Bautista;PER;Universities;2
314;7218;Faculdade de Medicina do ABC;BRA;Universities;3
315;7222;Universidad Libre;COL;Universities;1
315;7222;Universidad Autonoma Chapingo;MEX;Universities;2
317;7252;Universidade Regional do Cariri;BRA;Universities;2
318;7267;Centro Universitario Christus;BRA;Universities;2
319;7278;Universidad Autonoma de Chiapas *;MEX;Universities;2
319;7278;Universidade do Grande Rio;BRA;Universities;2
321;7285;Universidad del Pacifico, Peru;PER;Universities;2
322;7291;Universidad de La Habana;CUB;Universities;1
323;7296;Instituto Federal de Educacao, Ciencia e Tecnologia de Sao Paulo;BRA;Universities;2
324;7306;Universidad de las Fuerzas Armadas;ECU;Universities;1
324;7306;Universidade Estadual de Santa Cruz;BRA;Universities;3
326;7322;Corporacion Universitaria Minuto de Dios;COL;Universities;2
327;7330;Universidad Nacional de Rio Negro;ARG;Universities;2
328;7350;Universidade do Estado da Bahia;BRA;Universities;2
329;7369;Universidade Federal de Rondonia;BRA;Universities;3
330;7376;Universidade Estadual do Maranhao;BRA;Universities;2
331;7396;Universidade Luterana do Brasil *;BRA;Universities;3
332;7401;Instituto Tecnologico de Aeronautica;BRA;Universities;2
333;7406;Universidade Estadual do Sudoeste da Bahia;BRA;Universities;2
334;7414;St. Georges University;GRD;Universities;1
335;7426;Instituto Federal de Educacao, Ciencia e Tecnologia do Para;BRA;Universities;3
336;7453;Universidad Catolica de Cordoba *;ARG;Universities;3
337;7464;Universidad Juarez Autonoma de Tabasco;MEX;Universities;2
337;7464;Universidad Privada Antenor Orrego;PER;Universities;2
339;7472;Universidad Nacional de Misiones;ARG;Universities;3
340;7478;Universidad de Magallanes;CHL;Universities;3
341;7484;Fundacao Universidade Regional de Blumenau;BRA;Universities;3
342;7496;Universidad de La Salle Colombia;COL;Universities;2
343;7532;Universidad Tecnica de Manabi;ECU;Universities;1
344;7538;Instituto Federal de Educacao, Ciencia e Tecnologia do Maranhao;BRA;Universities;3
344;7538;Universidad de Los Lagos;CHL;Universities;3
346;7545;Universidad del Zulia;VEN;Universities;1
347;7556;Universidad Autonoma de Aguascalientes;MEX;Universities;2
347;7556;Instituto Federal de Educacao, Ciencia e Tecnologia da Paraiba;BRA;Universities;2
349;7564;Universidad de Ingenieria y Tecnologia;PER;Universities;1
350;7572;Universidade Federal do Oeste do Para;BRA;Universities;3
351;7587;Universidad Peruana Union;PER;Universities;2
352;7589;Universidad Alberto Hurtado;CHL;Universities;3
